ContentObjectID;NodeID;AttributeID;"Attribute Identifier";"Attribute Name";Version;"Content Empty";"Node Name";"Node Url"
39301;45283;861916;description;"Page Content";1;1;"Superfamily Scirtoidea";http://admin.example.com/Divisions-Offices/Plant-Industry/Florida-State-Collection-of-Arthropods/Explore-the-Collection/Insects/Coleoptera/Florida-Beetle-Checklist/Polyphaga/Series-Scarabaeiformia/Superfamily-Scirtoidea
39292;45274;861808;description;"Page Content";1;1;"Superfamily Scarabaeiformia";http://admin.example.com/Divisions-Offices/Plant-Industry/Florida-State-Collection-of-Arthropods/Explore-the-Collection/Insects/Coleoptera/Florida-Beetle-Checklist/Polyphaga/Series-Scarabaeiformia/Superfamily-Scarabaeiformia
39291;45266;861796;description;"Page Content";1;1;"Series Scarabaeiformia";http://admin.example.com/Divisions-Offices/Plant-Industry/Florida-State-Collection-of-Arthropods/Explore-the-Collection/Insects/Coleoptera/Florida-Beetle-Checklist/Polyphaga/Series-Scarabaeiformia
39282;45255;861692;description;"Page Content";2;1;"Superfamily Staphyliniformia";http://admin.example.com/Divisions-Offices/Plant-Industry/Florida-State-Collection-of-Arthropods/Explore-the-Collection/Insects/Coleoptera/Florida-Beetle-Checklist/Polyphaga/Superfamily-Staphyliniformia
39280;45252;861672;description;"Page Content";1;1;"Superfamily Hydrophiloidea";http://admin.example.com/Divisions-Offices/Plant-Industry/Florida-State-Collection-of-Arthropods/Explore-the-Collection/Insects/Coleoptera/Florida-Beetle-Checklist/Polyphaga/Series-Hydrophiloidea/Superfamily-Hydrophiloidea
39279;45251;861660;description;"Page Content";2;1;"Series Hydrophiloidea";http://admin.example.com/Divisions-Offices/Plant-Industry/Florida-State-Collection-of-Arthropods/Explore-the-Collection/Insects/Coleoptera/Florida-Beetle-Checklist/Polyphaga/Series-Hydrophiloidea
39261;45232;861526;description;"Page Content";1;1;"Live Fuel Moisture Collections";http://admin.example.com/Media/Images/Florida-Forest-Service-Images/Live-Fuel-Moisture-Collections
39257;45230;861492;description;"Page Content";3;1;Polyphaga;http://admin.example.com/Divisions-Offices/Plant-Industry/Florida-State-Collection-of-Arthropods/Explore-the-Collection/Insects/Coleoptera/Florida-Beetle-Checklist/Polyphaga
39222;45136;861177;description;"Page Content";1;1;"Nematology Circulars";http://admin.example.com/Media/Files/Plant-Industry-Files/Nematology-Circulars
39088;44872;860243;description;"Page Content";1;1;CHRP;http://admin.example.com/Media/Files/Plant-Industry-Files/CHRP
